University_Name,Country_Rank,World_Rank
Rajmata Vijayaraje Scindia Krishi Vishwavidyalaya,575,9620
Raksha Shakti University,671,10349
Rama Devi Women's University,804,11460
Rama University,505,9154
Ramaiah University of Applied Sciences,385,8271
Ramakrishna Mission Vivekananda Educational and Research Institute,415,8499
Ranchi University,250,7005
"Rani Channamma University, Belagavi",475,8937
Rani Durgavati Vishwavidyalaya,224,6629
Rani Lakshmi Bai Central Agricultural University,642,10126
Ras Bihari Bose Subharti University,872,12715
Rashtrasant Tukadoji Maharaj Nagpur University,381,8199
Rashtriya Sanskrit Sansthan University,240,6867
Rashtriya Sanskrit Vidyapeetha,491,9041
Ravenshaw University,507,9160
Rayalaseema University,540,9380
Rayat-Bahra University,609,9824
REVA University,223,6612
RIMT University,570,9575
RK University,542,9383
RKDF University,644,10130
Sabarmati University,728,10803
Sage University,530,9306
Sai Nath University,774,11197
Sai Tirupati University,876,13004
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",369,8123
Sambalpur University,429,8586
Sampurnanand Sanskrit Vishvavidyalaya,706,10666
Sanchi University of Buddhist-Indic Studies,809,11582
Sandip University,548,9412
"Sandip University, Sijoul",Un,Un
Sangai International University,684,10451
Sangam University,724,10771
Sanjay Gandhi Post Graduate Institute of Medical Sciences,131,5366
Sanjay Ghodawat University,810,11594
Sankalchand Patel University,844,12011
Sanskriti University,531,9308
Sant Baba Bhag Singh University,773,11189
Sant Gadge Baba Amravati University,209,6462
Sant Longowal Institute of Engineering and Technology,352,7989
Santosh University,600,9759
Sarala Birla University,800,11405
Sardar Patel University,139,5515
"Sardar Patel University of Police, Security and Criminal Justice",664,10283
"Sardar Vallabhbhai National Institute of Technology, Surat",143,5591
Sardar Vallabhbhai Patel University of Agriculture and Technology,618,9944
Sardarkrushinagar Dantiwada Agricultural University,561,9462
Sarguja University,553,9435
Sarvepalli Radhakrishnan University,816,11672
SASTRA University,56,3717
Satavahana University,558,9458
Sathyabama Institute of Science and Technology,151,5791
Saurashtra University,127,5263
Saveetha Institute of Medical and Technical Sciences,326,7787
Savitribai Phule Pune University,8,1229
"School of Planning and Architecture, Bhopal",455,8834
"School of Planning and Architecture, Delhi",265,7140
"School of Planning and Architecture, Vijayawada",582,9652
Seacom Skills University,789,11336
Sharda University,48,3408
Sharnbasva University,874,12757
Sher-e-Kashmir University of Agricultural Sciences and Technology of Jammu,613,9894
Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir,336,7844
Sher-i-Kashmir Institute of Medical Sciences,271,7204
Shiv Nadar University,92,4555
Shivaji University,177,6085
Shobhit Institute of Engineering and Technology,457,8849
Shoolini University of Biotechnology and Management Sciences,345,7892
Shree Guru Gobind Singh Tricentenary University,233,6764
Shree Somnath Sanskrit University,678,10390
Shreemati Nathibai Damodar Thackersey Women's University,348,7944
Shri Govind Guru University,791,11346
